First-Name Last-Name Completed-Passes Attempted-Passes Yards Touchdown% Interception% Longest-Completion Quarterback-Rating
Jared Goff 394 626 4638 3.5 2.6 66 86.5
Jameis Winston 380 626 5109 5.3 4.8 71 84.3
Matt Ryan 408 616 4466 4.2 2.3 93 92.1
Tom Brady 373 613 4057 3.9 1.3 59 88.0
Carson Wentz 388 607 4039 4.4 1.2 53 93.1
Dak Prescott 388 596 4902 5.0 1.8 62 99.7
Philip Rivers 390 591 4615 3.9 3.4 84 88.5
Aaron Rodgers* 353 569 4002 4.6 0.7 74 95.4
Kyler Murray 349 542 3722 3.7 2.2 88 87.4
Baker Mayfield 317 534 3827 4.1 3.9 89 78.8
Andy Dalton 314 528 3494 3.0 2.7 66 78.3
Mitchell Trubisky 326 516 3138 3.3 1.9 53 83.0
Russell Wilson* 341 516 4110 6.0 1.0 60 106.3
Derek Carr 361 513 4054 4.1 1.6 75 100.8
Ryan Fitzpatrick 311 502 3529 4.0 2.6 51 85.5
Deshaun Watson* 333 495 3852 5.3 2.4 54 98.0
Kyle Allen 303 489 3322 3.5 3.3 52 80.0
Patrick Mahomes* 319 484 4031 5.4 1.0 83 105.3
Jimmy Garoppolo 329 476 3978 5.7 2.7 75 102.0
Gardner Minshew 285 470 3271 4.5 1.3 70 91.2
Josh Allen 271 461 3089 4.3 2.0 53 85.3
Daniel Jones 284 459 3027 5.2 2.6 75 87.7
Jacoby Brissett 272 447 2942 4.0 1.3 50 88.0
Kirk Cousins* 307 444 3603 5.9 1.4 66 107.4
Sam Darnold 273 441 3024 4.3 2.9 92 84.3
Lamar Jackson*+ 265 401 3127 9.0 1.5 83 113.3
Drew Brees* 281 378 2979 7.1 1.1 61 116.3
Matthew Stafford 187 291 2499 6.5 1.7 66 106.0
Ryan Tannehill* 201 286 2742 7.7 2.1 91 117.5
Mason Rudolph 176 283 1765 4.6 3.2 76 82.0
Joe Flacco 171 262 1822 2.3 1.9 70 85.1
Case Keenum 160 247 1707 4.5 2.0 69 91.3
Dwayne Haskins 119 203 1365 3.4 3.4 75 76.1
Teddy Bridgewater 133 196 1384 4.6 1.0 45 99.1
David Blough 94 174 984 2.3 3.4 75 64.0
Devlin Hodges 100 160 1063 3.1 5.0 79 71.4
Marcus Mariota 95 160 1203 4.4 1.3 75 92.3
Drew Lock 100 156 1020 4.5 1.9 48 89.7
Eli Manning 91 147 1042 4.1 3.4 55 82.6
Nick Foles 77 117 736 2.6 1.7 39 84.6
Josh Rosen 58 109 567 0.9 4.6 40 52.0
Jeff Driskel 62 105 685 3.8 3.8 47 75.3
Matt Moore 59 91 659 4.4 0.0 57 100.9
Cam Newton 50 89 572 0.0 1.1 44 71.0
Ryan Finley 41 87 474 2.3 2.3 47 62.1
Brandon Allen 39 84 515 3.6 2.4 75 68.3
Luke Falk 47 73 416 0.0 4.1 36 62.4
Matt Schaub 50 67 580 4.5 1.5 35 109.0
Brian Hoyer 35 65 372 6.2 6.2 23 65.7
Chase Daniel 45 64 435 4.7 3.1 37 91.6
Ben Roethlisberger 35 62 351 0.0 1.6 45 66.0
Will Grier 28 52 228 0.0 7.7 28 33.2
Robert Griffin 23 38 225 2.6 5.3 39 64.0
A.J. McCarron 21 37 225 0.0 2.7 21 63.5
Colt McCoy 18 27 122 0.0 3.7 22 61.0
Sean Mannion 12 21 126 0.0 9.5 35 35.1
Taysom Hill 6 50.0 0 0 3 9.2 83.9
Trevor Siemian 3 6 3 0.0 0.0 3 56.2
